"Age","Race"
63.636111,3
39.902778,2
49.372222,2
30.041667,1
49.386111,2
48.091667,2
48.772222,2
47.216667,1
48.041667,2
42.238889,2
52.738889,1
50.988889,2
33.622222,1
40.333333,1
33.730556,1
66.172222,1
23.597222,1
67.661111,1
77.197222,1
36.211111,1
48.033333,2
50.691667,1
70.363889,1
57.538889,2
34.836111,1
34.533333,2
48.019444,1
61.636111,1
52.363889,1
50.7,1
61.680556,2
58.444444,1
45.791667,3
46.141667,1
44.877778,1
37.455556,1
49.455556,1
24.144444,2
63.316667,2
29.813889,1
36.175,2
50.077778,1
48.247222,1
43.880556,3
47.894444,2
67.883333,1
25.422222,1
59.172222,1
61.405556,2
54.538889,1
60.875,2
43.583333,2
31.227778,1
42.186111,1
38.613889,2
32.863889,3
54.152778,2
67.636111,1
56.405556,2
45.963889,1
30.211111,1
53.175,1
27.083333,1
35.908333,1
27.841667,3
32.386111,1
66.183333,2
53.813889,1
26.630556,1
49.880556,1
34.566667,1
33.763889,3
52.888889,1
33.483333,3
53.505556,2
32.744444,1
43.413889,3
30.533333,2
60.252778,2
46.152778,1
35.216667,1
53.5,1
56.741667,1
64.480556,2
56.9,2
46.161111,1
61.988889,2
61.15,2
50.761111,1
47.430556,1
68.263889,1
50.469444,2
47.711111,1
32.616667,2
50.552778,1
27.997222,2
45.380556,1
45.727778,1
32.919444,2
40.447222,1
32.65,1
50.916667,1
70,3
48.666667,2
51.013889,1
52.494444,2
54.927778,1
38.702778,1
32.780556,1
39.911111,1
62.072222,2
72.25,2
38.591667,1
37.591667,1
38.405556,3
63.958333,2
51.419444,1
62.822222,1
39.083333,1
41.441667,1
60.652778,2
64.377778,1
24.863889,1
32.116667,2
35.905556,1
39.519444,2
40.805556,3
36.297222,1
69.391667,2
52.230556,2
44.105556,1
