"Age","Race"
28,"HISP"
47,"WHITE"
30,"WHITE"
58,"WHITE"
38,"WHITE"
41,"WHITE"
41,"WHITE"
28,"WHITE"
37,"WHITE"
33,"WHITE"
45,"WHITE"
26,"WHITE"
34,"WHITE"
33,"WHITE"
36,"WHITE"
33,"WHITE"
34,"WHITE"
43,"BLACK"
40,"WHITE"
32,"WHITE"
30,"BLACK"
31,"WHITE"
23,"WHITE"
36,"BLACK"
36,"BLACK"
56,"BLACK"
40,"BLACK"
38,"WHITE"
41,"WHITE"
51,"WHITE"
40,"BLACK"
28,"WHITE"
35,"WHITE"
36,"WHITE"
37,"WHITE"
46,"WHITE"
36,"WHITE"
35,"WHITE"
23,"WHITE"
27,"WHITE"
26,"WHITE"
33,"WHITE"
36,"WHITE"
29,"WHITE"
47,"WHITE"
59,"WHITE"
32,"HISP"
39,"BLACK"
46,"WHITE"
55,"WHITE"
43,"WHITE"
35,"BLACK"
56,"WHITE"
43,"WHITE"
25,"WHITE"
37,"WHITE"
36,"OTHER"
39,"WHITE"
65,"BLACK"
54,"BLACK"
25,"BLACK"
26,"HISP"
32,"BLACK"
33,"WHITE"
38,"WHITE"
24,"WHITE"
34,"WHITE"
41,"WHITE"
27,"WHITE"
48,"WHITE"
28,"WHITE"
25,"WHITE"
51,"WHITE"
68,"WHITE"
35,"WHITE"
43,"WHITE"
